Year,SchemeName,Tier,CategoryName,Category,ResultText,NomineeName,Role,Showname,ResolvedSocietyName,Society,Region,Reason,Title
1977,,,Best Lighting,3cb8b2c6-9054-4fb6-a9bd-7d54942c989e,Nominee,,,Fiddler on the Roof,"St. Mary's Choral Society, Clonmel",8a3d7560-9bdd-42e8-8292-a009beb6b2af,a36c4a12-d0d6-4932-8ff5-b1127265d232,,
1977,,,Best Overall Show,0a00d375-d711-48aa-81a9-8d6480dec407,Third Place,,,The Dollar Princess,,,,,Coolock Musical Society
1977,,,Best Stage Management,55e05994-7ec0-4c2d-a924-b424a5d9fbe0,Winner,Tommy Duffin,,Fiddler on the Roof,Clara Musical Society,2a3e4ead-23a2-4e36-9c52-aa2e2183ff82,25365e99-ebb6-4b7b-a6c9-70185f562fc8,,Tommy Duffin
1977,,,Best Actor In A Supporting Role,d980aeea-cee2-4d13-84c8-66c7fd5a0170,Nominee,Bernie Baldwin,Dr. Engel,The Student Prince,Dundalk Musical Society,2f89c991-1c0a-49a9-b3b5-65f35d2e3360,11caa376-089b-4912-b7a1-b76e72fea9d3,,Bernie Baldwin
1977,,,Best Actress In A Supporting Role,5f1f96a6-acbb-4a6d-806e-3186231e070b,Nominee,Rita Finan,Ottoline,White Horse Inn,,,,,Rita Finan
1977,,,Best Actor In A Supporting Role,d980aeea-cee2-4d13-84c8-66c7fd5a0170,Winner,Arthur McGauran,Jud Fry,Oklahoma,,,,,Arthur McGauran
1977,,,Best Chorus,ba82b2ab-28b8-4b63-ae4e-9cf72deef747,Winner,,,Orpheus in the Underworld,St. Agnes' Musical Society,59d551af-01a4-436f-9845-6fd524d438b4,11caa376-089b-4912-b7a1-b76e72fea9d3,,
1977,,,Best Choreography,630e7961-d2d3-4e03-bc1e-69cd1528a792,Nominee,,,Waltzes from Vienna,,,,,Clontarf Musical Society
1977,,,Best Sets,3f5f8fa9-2c36-4fb3-85cf-6e6da661954b,Winner,,,Die Fleidermaus,Ennis Musical Society,0643ddcf-1dd9-409d-b64c-bc36bb053061,a36c4a12-d0d6-4932-8ff5-b1127265d232,,
1977,,,Best Director,430db74e-8fe4-4bbe-a5b2-69e22c0f812c,Nominee,Mary Cummins,,The Pirates of Penzance,"St. Mary's Choral Society, Clonmel",8a3d7560-9bdd-42e8-8292-a009beb6b2af,a36c4a12-d0d6-4932-8ff5-b1127265d232,,Mary Cummins
1977,,,Best Actress,24cbd460-441e-4ea9-b552-589152ea5f93,Nominee,Joan Walsh,Josepha,The White Horse Inn,,,,,Joan Walsh
1977,,,Best Actress,24cbd460-441e-4ea9-b552-589152ea5f93,Nominee,Yvonne Russell,Yum Yum,The Mikado,Glencullen Dundrum MDS,e766d0ad-1185-4ff4-935e-7cb2326e5a36,11caa376-089b-4912-b7a1-b76e72fea9d3,,Yvonne Russell
1977,,,Best Chorus,ba82b2ab-28b8-4b63-ae4e-9cf72deef747,Nominee,,,The Pirates of Penzance,"St. Mary's Choral Society, Clonmel",8a3d7560-9bdd-42e8-8292-a009beb6b2af,a36c4a12-d0d6-4932-8ff5-b1127265d232,,
1977,,,Best Musical Director,d92f6f4d-6440-43b7-8252-92deb4b9aa64,Nominee,Fr Noel Cannon,,Waltzes from Vienna,Kilkenny Musical Society,c5152529-4a65-4546-a023-33681bd07d7b,1087b7b7-fa97-4394-ad7b-3dd1087382ef,,Fr Noel Cannon
1977,,,Best Overall Show,0a00d375-d711-48aa-81a9-8d6480dec407,Second Place,,,Jesus Christ Superstar,Carrick-on-Suir Musical Society,99da3d6f-a044-4cff-80b7-3ce297c27b68,a36c4a12-d0d6-4932-8ff5-b1127265d232,,
1977,,,Adjudicator's Special Award,5dd37531-6760-411a-acde-008b4b393b19,Nominee,Sandymount Musical Society,,,,,,For attention to all-over detail in their first production,
1977,,,Best Stage Management,55e05994-7ec0-4c2d-a924-b424a5d9fbe0,Nominee,Nuala Maher,,Oklahoma,,,,,Nuala Maher
1977,,,Best Chorus,ba82b2ab-28b8-4b63-ae4e-9cf72deef747,Nominee,,,Die Fleidermaus,Wexford Light Opera Society,7661a2e8-cacb-4ae0-bbcd-b8448cfa2bc3,1087b7b7-fa97-4394-ad7b-3dd1087382ef,,
1977,,,Best Programme,1bb726c9-26e2-40ad-8392-f89238bb0222,Nominee,,,The Gipsy Baron,Carrick-on-Suir Musical Society,99da3d6f-a044-4cff-80b7-3ce297c27b68,a36c4a12-d0d6-4932-8ff5-b1127265d232,,
1977,,,Best Chorus,ba82b2ab-28b8-4b63-ae4e-9cf72deef747,Nominee,,,Waltzes from Vienna,,,,,Clontarf Musical Society
