opening_date,closing_date,society_as_listed,show
2026-09-01,2026-09-05,Jack Cunningham Productions,West Side Story
2026-09-17,2026-09-19,North Wexford Musical Theatre,Our House
2026-09-19,2026-09-22,Clara Musical Society,Dear Evan Hansen
2026-09-24,2026-09-26,UCD Musical Society,Next to Normal
2026-09-24,2026-09-26,The Odd Company,My Fair Lady
2026-09-29,2026-10-03,Ulster Operatic,The Addams Family
2026-10-28,2026-10-31,Kilmainham Inchicore Musical Society,We Will Rock You
2026-10-28,2026-10-31,MUSE,West Side Story
2026-11-02,2026-11-07,Clane Musical and Dramatic Society,Jekyll and Hyde
2026-11-14,2026-11-21,Portlaoise Musical Society,Young Frankenstein
2026-11-16,2026-11-21,St. Michael's Theatre Musical Society,Michael Collins - A Musical Drama
2026-11-18,2026-11-22,"SONG, Dundalk",Elf
2026-11-18,2026-11-21,"Cecilian Musical Society, Limerick",The Hunchback of Notre Dame
2026-11-18,2026-11-21,9 Arch Musical Society,All Shook Up
2026-11-19,2026-11-21,Newcastle Glees,Sweeney Todd
2026-11-22,2026-11-26,Oyster Lane,Prince of Egypt
2026-11-24,2026-11-28,North East Musical and Dramatic Society,The Addams Family
2026-11-25,2026-11-28,Newcastle Glees,Sweeney Todd
2027-01-27,2027-01-30,Claremorris Musical Society,Calendar Girls
2027-02-13,2027-02-20,Tullamore Musical Society,The Producers
2027-02-14,2027-02-20,Shannon Musical Society,Wonderland
2027-02-15,2027-02-20,Aghada MS,Come From Away
2027-02-16,2027-02-20,Malahide Musical and Dramatic Society,The Clockmaker's Daughter
2027-02-17,2027-02-20,Entr'acte,Newsies
2027-02-23,2027-02-27,Belfast Operatic,Come From Away
2027-02-23,2027-02-27,Bellvue,Newsies
2027-02-26,2027-02-28,Athlone Musical Society,The Wedding Singer
2027-03-01,2027-03-06,Trim Musical Society,Sweet Charity
2027-03-02,2027-03-04,Killarney Musical Society,Sister Act
2027-03-03,2027-03-06,Athlone Musical Society,The Wedding Singer
2027-03-09,2027-03-13,Teachers' Musical Society,Little Shop of Horrors
2027-03-10,2027-03-13,Mitchelstown Musical Society,The Little Mermaid
2027-03-24,2027-03-27,Castlebar Musical and Dramatic Society,The Witches of Eastwick
2027-03-28,2027-04-03,Ballinrobe Musical Society,The Clockmaker's Daughter
2027-03-30,2027-04-03,Kilcock Musical Society,Little Shop of Horrors
2027-03-30,2027-04-03,St. Mel's Musical Society,Beauty and the Beast
2027-03-30,2027-04-03,Newbridge Musical Theatre,Chess
2027-03-30,2027-04-03,Avonmore Musical Society,Made in Dagenham
2027-03-31,2027-04-03,Enniscorthy Musical Society,Guys and Dolls
2027-04-06,2027-04-10,Dun Laoghaire Musical and Dramatic Society,Come From Away
2027-04-12,2027-04-17,Gorey Musical Society,The Producers
2027-04-13,2027-04-17,Maynooth University Musical Society,Rock of Ages
2027-04-20,2027-04-24,"St. Mary's Musical Society, Navan",Fiddler on the Roof
2027-04-26,2027-05-01,St. Mary's Choral Society Clonmel,Chess
2027-04-26,2027-05-01,Roscrea Musical Society,Newsies
2027-04-26,2027-05-01,Wexford Light Opera Society,Evita
2027-04-27,2027-05-01,Leixlip Musical and Dramatic Society,Urinetown
2027-05-04,2027-05-08,St. Agnes' Musical Society,Shrek
