season,region,section,society,show,opening_date,closing_date,adjudication_date,adjudication_month_raw,venue,director,musical_director,choreographer,review_status,review_url,status
23/24,Western,Sullivan,9 Arch Musical Society,Kinky Boots,2023-11-15,2023-11-18,2024-02-17,,"Town Hall Theatre, Galway",Alan Greaney,Shane Farrell,Jay Molyneux,Published,https://www.aims.ie/post/kinky-boots-as-presented-by-9-arch-musical-society,
23/24,South-West,Sullivan,Aghada Centre Theatre Group,The Addams Family,2024-02-13,2024-02-18,2024-02-18,,Aghada,Sinead Dunlea,Robbie Pender,Aileen McMurtry,Published,https://www.aims.ie/post/the-addams-family-as-presented-by-aghada-centre-theatre-group,
23/24,Midlands,Gilbert,Athlone Musical Society,Urinetown,2024-03-01,2024-03-09,2024-03-07,,Athlone,Alfie Kilduff,Ger Madden,Chris Corroon,Published,https://www.aims.ie/post/urinetown-as-presented-by-athlone-musical-society,
23/24,South-East,Gilbert,Avonmore Musical Society,The Little Mermaid,2024-04-02,2024-04-06,2024-04-05,,"St. Mary's College, Arklow",David Hennessy,Naoimh Penston,Martina Lynch,Published,https://www.aims.ie/post/the-little-mermaid-as-presented-by-avonmore-musical-society,
23/24,Eastern,Sullivan,Baldoyle Musical Society,Legally Blonde,2024-04-16,2024-04-20,2024-04-17,,Baldoyle,Yvette Cuffe Keena,Gay Kirwan,Sinead McCrohan,Published,https://www.aims.ie/post/legally-blonde-as-presented-by-baldoyle-musical-society,
23/24,Midlands,Sullivan,Ballinasloe Musical Society,Little Shop of Horrors,2024-03-19,2024-03-23,2024-03-22,,Ballinsaloe,Ronan Lardner,Shane Farrell,Aoife McClafferty,Published,https://www.aims.ie/post/little-shop-of-horrors-as-presented-by-ballinasloe-musical-society,
23/24,Western,Gilbert,Ballinrobe Musical Society,The Phantom of the Opera,2024-02-11,2024-02-18,2024-02-17,,Ballinrobe,Alan Greaney,Finola Higgins,Aoife McClafferty,Published,https://www.aims.ie/post/phantom-of-the-opera-as-presented-by-ballinrobe-musical-society,
23/24,Northern,Sullivan,Ballyshannon Musical Society,Beautiful: The Carole King Musical,2024-02-27,2024-03-02,,not adjudicated,Donegal,Moya Ferguson,,Karla Lacey,Not adjudicated,,
23/24,Northern,Gilbert,Ballywillan Drama Group,Kinky Boots,2023-05-26,2023-06-10,2023-06-02,,Down,Brian Logan,Andrew Robinson,Laura Fisher,Published,https://www.aims.ie/post/kinky-boots-as-presented-by-ballywillan-drama-group,
23/24,Northern,Gilbert,Ballywillan Drama Group,Fiddler on the Roof,2024-04-19,2024-05-04,2024-04-29,,Down,Brian Logan,Andrew Robinson,Sharon Logan,Published,https://www.aims.ie/post/fiddler-on-the-roof-as-presented-by-ballywillan-drama-group,
23/24,Northern,Gilbert,Banbridge Musical Society,Oklahoma!,2024-04-17,2024-04-20,2024-04-18,,Market Place Armagh,Anthony Fitzpatrick,Dennis McKeever,Aveen Stewart,Published,https://www.aims.ie/post/oklahoma-as-presented-by-banbridge-musical-society,
23/24,Northern,Gilbert,Belfast Operatic Company,The Phantom of the Opera,2024-04-30,2024-05-05,,not adjudicated,Belfast,,,,Not adjudicated,,
23/24,Eastern,Sullivan,Bellvue Academy of Performing Arts,Les Miserables,2024-02-21,2024-02-25,2024-02-23,,Tipperary,Lisa Kelly,Niall Kelly,Claire O’Hara,Published,https://www.aims.ie/post/les-miserables-school-edition-as-presented-by-bellvue-academy-of-performing-arts,
23/24,Midlands,Sullivan,Birr Stage Guild,The Addams Family,2024-03-12,2024-03-16,2024-03-16,,Birr,Paul Norton,,Lisa Hogan,Published,https://www.aims.ie/post/the-addams-family-as-presented-by-birr-stage-guild,
23/24,Northern,Sullivan,Bosco Drama Group,Everybody's Talking About Jamie (Teen Edition),2023-11-05,2023-11-09,2023-11-25,,Newry,Corinna McCaughey,Aislinn McGinn,Anne Marie Morgan,Published,https://www.aims.ie/post/everybody-s-talking-about-jamie-as-presented-by-bosco-drama-group-newry,
23/24,Western,Sullivan,Boyle Musical Society,The Hunchback of Notre Dame,2023-11-22,2023-11-25,2024-02-17,,Roscommon,Vivienne Moran,Anne Kielty,Vivienne Moran,Published,https://www.aims.ie/post/hunchback-of-notre-dame-as-presented-by-boyle-musical-society,
23/24,Western,Gilbert,Bravo Theatre Group,Calendar Girls,2023-09-28,2023-09-30,2023-09-29,,"Town Hall Theatre, Galway",Pat McElwain,Shane Farrell,Jay Molyneux,Published,https://www.aims.ie/post/calendar-girls-as-presented-by-bravo-theatre-group,
23/24,South-East,Sullivan,Bray Musical Society,The Addams Family,2024-04-17,2024-04-20,2024-04-18,,Bray,Emma Thornton,Elizabeth Gregan,Yvonne Prendergast,Published,https://www.aims.ie/post/the-addams-family-as-presented-by-bray-musical-society,
23/24,South-East,Gilbert,Carnew Musical Society,The Addams Family,2023-11-27,2023-12-02,2023-11-30,,Carnew,Michael Dunbar,Conor McCarthy,Graham Finnerty,Published,https://www.aims.ie/post/the-addams-family-as-presented-by-carnew-musical-society,
23/24,South-West,Gilbert,Carrick-on-Suir Musical Society,9 to 5,2024-04-20,2024-04-27,2024-04-26,,"The Strand Theatre, Carrick-on-Suir",Martin McNelis,Eamonn O'Malley,Keithe Greene,Published,https://www.aims.ie/post/9-to-5-as-presented-by-carrick-on-suir-musical-society,
23/24,Western,Sullivan,Castlebar Musical & Dramatic Society,Legally Blonde,2024-03-07,2024-03-09,2024-03-07,,Castelbar,Donna Ruane,Deirdre Lee,Claudia O'Sullivan,Published,https://www.aims.ie/post/legally-blonde-as-presented-by-castlebar-musical-dramatic-society,
23/24,Western,Sullivan,Castlerea Musical Society,9 to 5,2024-04-24,2024-04-27,2024-04-25,,"The Hub, Castlerea",Ronan Lardner,Shane Farrell,Ria Purcell,Published,https://www.aims.ie/post/9-to-5-as-presented-by-castlerea-musical-society,
23/24,South-West,Gilbert,"Cecilian Musical Society, Limerick",Shrek,2023-11-22,2023-11-26,2023-11-25,,Limerick,Des Henn,Michael Young,Barbara Meany,Published,https://www.aims.ie/post/shrek-as-performed-by-cecilian-musical-society,
23/24,Eastern,Sullivan,Clane Musical & Dramatic Society,The Addams Family,2024-04-16,2024-04-20,2024-04-16,,"The Abbey, Clane",Jennifer O'Brien,Gráinne Úi Lúing,Grace McGrath,Published,https://www.aims.ie/post/the-addams-family-as-presented-by-clane-mds,
23/24,Midlands,Gilbert,Clara Musical Society,Sister Act,2024-04-09,2024-04-13,2024-04-13,,,Alan Recks,Alan Recks,Ruth Maher,Published,https://www.aims.ie/post/sister-act-as-presented-by-clara-musical-society,
23/24,Western,Sullivan,Claremorris Musical Society,Young Frankenstein,2024-01-31,2024-02-04,2024-02-18,,"Town Hall Theatre, Claremorris",Donna Ruane,Deirdre Lee,Claudia O'Sullivan,Published,https://www.aims.ie/post/young-frankenstein-as-presented-by-claremorris-musical-society,
23/24,Eastern,Gilbert,Coolmine Musical Society,Seussical,2023-11-14,2023-11-18,2023-11-15,,Draoícht Blanchardstown,Pat McElwain,Caitriona Ní Threasaigh,Nicole McDonald,Published,https://www.aims.ie/post/seussical-as-presented-by-coolmine-musical-society,
23/24,Northern,Sullivan,Craic Theatre,Grease,2024-04-04,2024-04-14,2024-04-13,,Belfast,Sean O'Neill,Roisín Corr,Sean O'Neill,Published,https://www.aims.ie/post/grease-as-performed-by-craic-theatre,
23/24,Eastern,Sullivan,DCU Drama Society,Legally Blonde,2024-04-09,2024-04-11,2024-04-10,,St. Pat's DCU,Amy McLoughlin,Georgia Goodall,Abbie Nolan,Published,https://www.aims.ie/post/legally-blonde-as-presented-by-dcu-drama-soc,
23/24,Eastern,Sullivan,Dun Laoghaire Musical & Dramatic Society,Chess,2024-04-16,2024-04-20,2024-04-19,,Pavillion Theatre,Stephen Fagan,Barry Power,Lauren Dooley,Published,https://www.aims.ie/post/chess-as-presented-by-dun-laoghaire-musical-dramatic-society,
23/24,Eastern,Gilbert,Dunboyne Musical Society,The Addams Family,2024-04-03,2024-04-06,2024-04-06,,Dunboyne,Orla Mulreid Deane,Emer Hartnett,Gráinne Kennedy,Published,https://www.aims.ie/post/the-addams-family-as-presented-by-dunboyne-musical-society,
