id,name,region,section,section_as_of,section_history,notes
1,9 Arch Musical Society,Western,Gilbert,26/27,23/24: Sullivan · 24/25: Gilbert · 25/26: Gilbert · 26/27: Gilbert · 27/28: Gilbert,
2,Achill Musical & Dramatic Society,Western,Non-AIMS,,,Not on AIMS register
3,Aghada Centre Theatre Group,South-West,Gilbert,26/27,23/24: Sullivan · 24/25: Sullivan · 25/26: Gilbert · 26/27: Gilbert · 27/28: Sullivan,
4,Athlone Musical Society,Midlands,Gilbert,26/27,,
5,Avonmore Musical Society,South-East,Gilbert,26/27,23/24: Gilbert · 24/25: Gilbert · 25/26: Sullivan · 26/27: Gilbert · 27/28: Gilbert,
6,Baldoyle Musical Society,Eastern,Sullivan,26/27,,
7,Ballinasloe Musical Society,Midlands,Sullivan,26/27,,
8,Ballinrobe Musical Society,Western,Gilbert,26/27,,
9,Ballyshannon Musical Society,Northern,Sullivan,26/27,,
10,Ballywillan Drama Group,Northern,Sullivan,26/27,23/24: Gilbert · 24/25: Sullivan · 25/26: Sullivan · 26/27: Sullivan · 27/28: Sullivan,
11,Banbridge Musical Society,Northern,Gilbert,24/25,,
12,Belfast Operatic Company,Northern,Gilbert,26/27,,
13,Bellvue Academy of Performing Arts,South-West,Sullivan,26/27,,
14,Birr Stage Guild,Midlands,Sullivan,26/27,,
15,Bosco Drama Group,Northern,Gilbert,26/27,23/24: Sullivan · 24/25: Gilbert · 25/26: Gilbert · 26/27: Gilbert · 27/28: Gilbert,
16,Boyle Musical Society,Western,Sullivan,26/27,,
17,Bravo Theatre Group,Western,Gilbert,26/27,,
18,Bray Musical Society,South-East,Sullivan,26/27,,
19,Carnew Musical Society,South-East,Gilbert,26/27,,
20,Carrick-on-Suir Musical Society,South-West,Gilbert,26/27,,
21,Carrigaline Musical Society,South-West,Sullivan,26/27,,
22,Castlebar Musical & Dramatic Society,Western,Sullivan,26/27,,
23,Castlerea Musical Society,Western,Sullivan,26/27,,
24,"Cecilian Musical Society, Limerick",South-West,Gilbert,26/27,,
25,Clane Musical & Dramatic Society,Eastern,Sullivan,26/27,23/24: Sullivan · 24/25: Sullivan · 25/26: Gilbert · 26/27: Sullivan · 27/28: Sullivan,
26,Clara Musical Society,Midlands,Gilbert,26/27,,
27,Claremorris Musical Society,Western,Sullivan,26/27,,
28,Coolmine Musical Society,Eastern,Gilbert,26/27,,
29,Craic Theatre,Northern,Sullivan,23/24,,
30,Creative Minds Productions,South-West,Sullivan,26/27,,
31,"DCG Project, The",Eastern,Sullivan,26/27,,
32,DCU Drama Society,Eastern,Sullivan,23/24,,
33,Drogheda Musical Society,Eastern,Sullivan,26/27,,
34,Dun Laoghaire Musical & Dramatic Society,Eastern,Gilbert,26/27,23/24: Sullivan · 24/25: Sullivan · 25/26: Gilbert · 26/27: Gilbert · 27/28: Gilbert,
35,Dunboyne Musical Society,Eastern,Sullivan,26/27,23/24: Gilbert · 24/25: Gilbert · 25/26: Sullivan · 26/27: Sullivan · 27/28: Gilbert,
36,Dundalk Musical Society,Eastern,Sullivan,26/27,,
37,Dunmore Musical Society,Western,Sullivan,24/25,,
38,East Clare Musical Society,South-West,Non-AIMS,,,Not on AIMS register; region assigned geographically – please confirm
39,Encore Performing Arts Academy,Northern,Sullivan,23/24,,
40,Ennis Musical Society,South-West,Gilbert,26/27,,
41,Enniscorthy Musical Society,South-East,Sullivan,26/27,23/24: Sullivan · 24/25: Sullivan · 25/26: Gilbert · 26/27: Sullivan · 27/28: Sullivan,
42,Ennistymon Choral Society,Western,Sullivan,26/27,,
43,Entr'acte Musical Theatre Society,Eastern,Gilbert,26/27,,
44,Fermanagh Musical Theatre,Northern,Sullivan,25/26,,
45,Fermoy Musical Society,South-West,Sullivan,26/27,,
46,Fortwilliam Musical Society,Northern,Sullivan,25/26,,
47,Fun House Theatre Company,Midlands,Sullivan,23/24,,
48,Galway Musical Society,Western,Gilbert,26/27,,
49,Galway University Musical Society,Western,Gilbert,26/27,,
50,Glenamaddy Musical Society,Western,Sullivan,26/27,,
51,Glencullen Dundrum MDS,Eastern,Sullivan,26/27,23/24: Sullivan · 24/25: Sullivan · 25/26: Gilbert · 26/27: Sullivan · 27/28: Sullivan,
52,Gorey Musical Society,South-East,Gilbert,26/27,,
53,Greasepaint Productions,Northern,Sullivan,25/26,,
54,Harolds Cross Tallaght Musical Society,Eastern,Sullivan,26/27,23/24: Gilbert · 24/25: Gilbert · 25/26: Sullivan · 26/27: Sullivan · 27/28: Sullivan,
55,Jack Cunningham Productions,South-East,Gilbert,26/27,23/24: Sullivan · 24/25: Gilbert · 25/26: Gilbert · 26/27: Gilbert · 27/28: Gilbert,
56,Kilcock Musical & Dramatic Society,Eastern,Gilbert,26/27,,
57,Kilkenny Musical Society,South-East,Gilbert,26/27,,
58,Kill Musical & Dramatic Society,Eastern,Sullivan,26/27,,
59,Killarney Musical Society,South-West,Gilbert,26/27,23/24: Sullivan · 24/25: Gilbert · 25/26: Gilbert · 26/27: Gilbert · 27/28: Gilbert,
60,Kilmacud Musical Society,Eastern,Sullivan,26/27,,
61,Kilmainham Inchicore Musical Society,Eastern,Gilbert,26/27,23/24: Sullivan · 24/25: Gilbert · 25/26: Gilbert · 26/27: Gilbert · 27/28: Gilbert,
62,Kilrush Choral Society,South-West,Sullivan,26/27,,
63,Leixlip Musical & Variety Group,Eastern,Gilbert,26/27,,
64,Letterkenny Music & Drama Group,Northern,Sullivan,26/27,23/24: Sullivan · 24/25: Sullivan · 25/26: Gilbert · 26/27: Sullivan · 27/28: Sullivan,
65,Letterkenny Musical Society,Northern,Sullivan,26/27,,
66,Light Opera Society of Tralee (LOST),South-West,Sullivan,26/27,,
67,Limerick Musical Society,South-West,Sullivan,26/27,,
68,Lisnagarvey Operatic and Dramatic Society,Northern,Sullivan,26/27,,
